거래소코드,회사명,회계년도,label,pred,proba1
032680,(주)소프트센,2015/12,1.0,1,0.8755319
032790,(주)엠젠솔루션,2012/12,0.0,0,0.0037877439
032820,(주)우리기술,2012/12,0.0,0,0.03921162
032850,(주)비트컴퓨터,2018/12,1.0,1,0.9346928
032860,더라미(주),2012/12,0.0,0,0.07121345
032940,(주)원익,2012/12,0.0,0,0.0731909
032960,(주)동일기연,2018/12,1.0,1,0.9496794
032980,바이온(주),2017/12,0.0,0,0.049318068
033050,제이엠아이(주),2012/12,0.0,0,0.011158789
033100,제룡전기(주),2016/12,0.0,0,0.10450276
033110,(주)코너스톤네트웍스,2012/12,1.0,1,0.9499721
033170,시그네틱스(주),2014/12,1.0,1,0.9754371
033180,(주)케이에이치필룩스,2018/12,0.0,0,0.024586944
033230,(주)인성정보,2015/12,1.0,1,0.9320565
033240,자화전자(주),2018/12,0.0,0,0.033100754
033290,코웰패션(주),2013/12,0.0,0,0.029959064
033310,(주)엠투엔,2019/12,0.0,0,0.011653483
033320,제이씨현시스템(주),2012/12,1.0,1,0.9886707
033340,(주)좋은사람들,2013/12,1.0,1,0.9858782
033430,디에스티(주),2012/12,0.0,0,0.023944778
033500,(주)동성화인텍,2017/12,0.0,0,0.010888319
033530,세종공업(주),2017/12,0.0,0,0.07384228
033540,(주)파라텍,2018/12,0.0,0,0.01743898
033560,(주)블루콤,2019/12,0.0,0,0.039639957
033600,럭슬(주),2012/12,0.0,0,0.03759226
033640,(주)네패스,2013/12,0.0,0,0.07344115
033790,(주)스카이문스테크놀로지,2012/12,0.0,0,0.04461163
033920,(주)무학,2018/12,0.0,0,0.008558295
034020,두산에너빌리티(주),2015/12,1.0,1,0.9461441
034120,(주)에스비에스,2014/12,1.0,1,0.963903
034220,엘지디스플레이(주),2019/12,0.0,0,0.034196448
034230,(주)파라다이스,2017/12,0.0,0,0.007417155
034300,신세계건설(주),2013/12,1.0,1,0.89715767
034730,에스케이(주),2020/12,1.0,1,0.9121191
034940,조아제약(주),2014/12,0.0,0,0.039212096
035080,(주)그래디언트,2020/12,0.0,1,0.8954208
035250,(주)강원랜드,2020/12,0.0,1,0.58140963
035290,(주)골드앤에스,2012/12,0.0,0,0.054120712
035460,(주)기산텔레콤,2012/12,1.0,1,0.96694237
035480,(주)제이테크놀로지,2012/12,0.0,0,0.033828523
035610,(주)솔본,2012/12,0.0,0,0.22186917
035620,(주)바른손이앤에이,2013/12,0.0,0,0.013701961
035810,(주)이지홀딩스,2013/12,1.0,1,0.9182974
